구절	교정전	교정후
Genesis 4:22	Tubal-cain,	Tubalcain,
Genesis 4:22	Tubal-cain	Tubalcain
Genesis 12:8	Beth-el,	Bethel,
Genesis 12:8	Beth-el	Bethel
Genesis 13:3	Beth-el,	Bethel,
Genesis 13:3	Beth-el	Bethel
Genesis 14:6	El-paran,	Elparan,
Genesis 14:7	En-mishpat,	Enmishpat,
Genesis 14:7	Hazezon-tamar.	Hazezontamar.
Genesis 15:13	their's,	theirs,
Genesis 16:14	Beer-lahai-roi;	Beerlahairoi;
Genesis 19:38	Ben-ammi:	Benammi:
Genesis 21:14	Beer-sheba.	Beersheba.
Genesis 21:31	Beer-sheba;	Beersheba;
Genesis 21:32	Beer-sheba:	Beersheba:
Genesis 21:33	Beer-sheba,	Beersheba,
Genesis 22:14	Jehovah-jireh:	Jehovahjireh:
Genesis 22:19	Beer-sheba;	Beersheba;
Genesis 22:19	Beer-sheba.	Beersheba.
Genesis 23:2	Kirjath-arba;	Kirjatharba;
Genesis 24:62	Lahai-roi;	Lahairoi;
Genesis 25:11	Lahai-roi.	Lahairoi.
Genesis 25:20	Padan-aram,	Padanaram,
Genesis 26:20	our's:	ours:
Genesis 26:23	Beer-sheba.	Beersheba.
Genesis 26:33	Beer-sheba	Beersheba
Genesis 28:2	Padan-aram,	Padanaram,
Genesis 28:5	Padan-aram	Padanaram
Genesis 28:6	Padan-aram,	Padanaram,
Genesis 28:7	Padan-aram;	Padanaram;
Genesis 28:10	Beer-sheba,	Beersheba,
Genesis 28:19	Beth-el:	Bethel:
Genesis 31:13	Beth-el,	Bethel,
Genesis 31:16	our's,	ours,
Genesis 31:18	Padan-aram,	Padanaram,
Genesis 33:18	Padan-aram;	Padanaram;
Genesis 33:20	El-elohe-Israel.	Elelohe-Israel.
Genesis 34:23	their's	theirs
Genesis 34:23	our's?	ours?
Genesis 35:1	Beth-el,	Bethel,
Genesis 35:3	Beth-el;	Bethel;
Genesis 35:6	Beth-el,	Bethel,
Genesis 35:7	El-beth-el:	Elbethel:
Genesis 35:8	Beth-el	Bethel
Genesis 35:8	Allon-bachuth.	Allonbachuth.
Genesis 35:9	Padan-aram,	Padanaram,
Genesis 35:15	Beth-el.	Bethel.
Genesis 35:16	Beth-el;	Bethel;
Genesis 35:18	Ben-oni:	Benoni:
Genesis 35:19	Beth-lehem.	Bethlehem.
Genesis 35:26	Padan-aram.	Padanaram.
Genesis 36:38	Baal-hanan	Baalhanan
Genesis 36:39	Baal-hanan	Baalhanan
Genesis 41:45	Zaphnath-paaneah;	Zaphnathpaaneah;
Genesis 41:45	Poti-pherah	Potipherah
Genesis 41:50	Poti-pherah	Potipherah
Genesis 41:56	And	and
Genesis 43:34	their's.	theirs.
Genesis 45:20	your's.	yours.
Genesis 46:1	Beer-sheba,	Beersheba,
Genesis 46:5	Beer-sheba:	Beersheba:
Genesis 46:15	Padan-aram,	Padanaram,
Genesis 46:20	Poti-pherah	Potipherah
Genesis 48:7	Beth-lehem.	Bethlehem.
Genesis 50:11	Abel-mizraim,	Abelmizraim,
Exodus 14:2	Pi-hahiroth,	Pihahiroth,
Exodus 14:2	Baal-zephon:	Baalzephon:
Exodus 14:9	Pi-hahiroth,	Pihahiroth,
Exodus 14:9	Baal-zephon.	Baalzephon.
Exodus 17:15	Jehovah-nissi:	Jehovahnissi:
Exodus 29:9	their's	theirs
Leviticus 18:10	their's	theirs
Numbers 11:34	Kibroth-hattaavah:	Kibrothhattaavah:
Numbers 11:35	Kibroth-hattaavah	Kibrothhattaavah
Numbers 16:26	their's,	theirs,
Numbers 18:9	their's,	theirs,
Numbers 18:9	their's,	theirs,
Numbers 18:9	their's,	theirs,
Numbers 18:9	their's,	theirs,
Numbers 21:11	Ije-abarim,	Ijeabarim,
Numbers 22:39	Kirjath-huzoth.	Kirjathhuzoth.
Numbers 25:3	Baal-peor:	Baalpeor:
Numbers 25:5	Baal-peor.	Baalpeor.
Numbers 32:8	Kadesh-barnea	Kadeshbarnea
Numbers 32:32	our's.	ours.
Numbers 32:36	Beth-nimrah,	Bethnimrah,
Numbers 32:36	Beth-haran,	Bethharan,
Numbers 32:38	Baal-meon,	Baalmeon,
Numbers 32:41	Havoth-jair.	Havothjair.
Numbers 33:7	Pi-hahiroth,	Pihahiroth,
Numbers 33:7	Baal-zephon:	Baalzephon:
